Institution,Pub_Priv,Major,Percent_admitted,Graduation_rate ,price_for_instate_students,price_outofstate_students ,price_indistrict_students,Carnegie_Classification ,retention_rate ,Fulltime_fall_2018_cohort ,Undergrad_enrollment,Endowment_assets_year end_per_FTE_enrollment,SAT_Math_75th_percentile,Percent_awarded_Pell grants,Percent_fulltime_firsttime_receiving_award
University of Arizona,Public,1,85,61,30041,54068,30061,15,83,6011,34516,24153,690,29,44
Auburn University,Public,1,81,75,32196,51828,32196,15,91,4744,24594,NA,26613,670,15
Brandeis University,Private (non-profit),0,30,86,76141,76141,76141,15,93,895,3688,154087,NA,790,17
Brown University,Private (non-profit),0,7,94,77490,77490,77490,15,98,1652,7160,396440,NA,800,13
"University of California, Berkeley",Public,1,16,90,39376,69130,39376,15,97,5980,31348,NA,49178,790,27
"University of California, Davis",Public,1,39,84,35935,65689,35935,15,92,6296,30982,NA,12748,730,37
"University of California, Irvine",Public,1,27,83,35363,65117,35363,15,94,5779,30382,NA,12779,750,40
Carnegie Mellon University,Private (non-profit),1,15,87,74491,74491,74491,15,97,1572,6618,121055,NA,800,14
Case Western Reserve University,Private (non-profit),1,27,83,69638,69638,69638,15,93,1393,5383,169852,NA,790,13
University of Chicago,Private (non-profit),1,6,93,81531,81531,81531,15,99,1809,6891,437159,NA,800,11
University of Colorado Boulder,Public,1,78,65,31034,56852,31034,15,87,6613,31098,NA,NA,690,16
Columbia University,Private (non-profit),1,5,92,79752,79752,79752,15,99,1445,8221,360091,NA,800,25
Cornell University,Private (non-profit),1,11,93,76258,76258,76258,15,97,3295,15043,272436,NA,800,17
Dartmouth College,Private (non-profit),0,8,94,77152,77152,77152,15,98,1167,4459,847954,NA,790,17
Duke University,Private (non-profit),1,8,93,77029,77029,77029,15,98,1731,6649,496597,NA,800,14
Emory University,Private (non-profit),0,16,88,72604,72604,72604,15,95,1429,7118,566994,NA,790,19
Georgetown University,Private (non-profit),0,14,94,76280,76280,76280,15,97,1618,7513,109927,NA,790,13
Harvard University,Private (non-profit),0,5,95,73800,73800,73800,15,97,1652,10063,1463919,NA,800,12
University of Iowa,Public,1,83,69,24806,46769,24806,15,86,4726,23482,NA,52065,680,20
Johns Hopkins University,Private (non-profit),0,11,92,74028,74028,74028,15,97,1420,6256,247630,NA,800,14
"University of Maryland, College Park",Public,1,44,85,27866,53978,27866,15,95,6021,30511,NA,19335,760,18
University of Michigan,Public,1,23,92,31056,66698,31056,15,97,6664,31266,NA,256920,790,17
Northwestern University,Private (non-profit),0,9,92,78654,78654,78654,15,98,1931,8682,408726,NA,790,18
University of Notre Dame,Private (non-profit),0,16,95,74193,74193,74193,15,98,2070,8732,866689,NA,790,11
Ohio State University[4],Public,1,54,83,27912,48889,27912,15,94,7941,46818,NA,86494,770,21
University of Pennsylvania,Private (non-profit),0,8,94,77264,77264,77264,15,98,2457,11872,582750,NA,800,13
Princeton University,Private (non-profit),0,6,97,74150,74150,74150,15,98,1338,5422,2884894,NA,800,19
Rice University,Private (non-profit),0,9,91,67102,67102,67102,15,98,956,3989,862431,NA,800,15
University of Rochester,Private (non-profit),1,30,86,75190,75190,75190,15,94,1522,6780,195640,NA,780,18
Stanford University,Private (non-profit),0,4,89,74570,74570,74570,15,99,1696,6996,1539051,NA,800,17
Temple University,Public,1,60,71,35371,48283,35371,15,89,5009,28726,18669,NA,NA,30
Tufts University,Private (non-profit),1,15,93,76200,76200,76200,15,96,1541,5907,159423,NA,790,12
Vanderbilt University,Private (non-profit),0,9,93,73148,73148,73148,15,97,1601,6886,528920,NA,800,16
University of Virginia,Public,0,24,94,34094,67196,34094,15,97,3822,17010,NA,264679,780,13
University of Washington,Public,1,52,82,28394,55095,28394,15,95,7096,32046,NA,65442,770,21
Washington University in St. Louis,Private (non-profit),0,14,94,76910,76910,76910,15,97,1785,7822,498100,NA,800,13
Washington State University,Public,1,76,56,27991,42569,27991,15,79,5048,26062,NA,35809,610,31
Yale University,Private (non-profit),1,6,95,76645,76645,76645,15,99,1573,6092,1864882,NA,800,18
American University,Private (non-profit),1,36,78,67694,67694,67694,16,87,1752,8527,52411,NA,690,16
Azusa Pacific University,Private (non-profit),0,67,65,56826,56826,56826,16,80,998,5136,8519,NA,630,31
Ball State University,Public,0,77,64,24962,41742,24962,16,75,3700,16702,NA,11137,NA,34
Baylor University,Private (non-profit),1,45,77,64880,64880,64880,16,88,3364,14108,74458,NA,700,19
Boise State University,Public,0,77,45,24300,41220,24300,16,79,2770,22896,NA,6707,610,23
Bowling Green State University,Public,1,72,56,25187,33176,25187,16,77,3251,15103,NA,10175,550,27
Brigham Young University,Private (non-profit),1,67,45,19236,19236,19236,16,90,5633,31292,55394,NA,710,36
College of William and Mary,Public,1,38,89,39595,62821,39595,16,95,1545,6256,NA,116476,770,12
Rowan University,Public,0,74,69,35638,44470,35638,16,83,2677,16011,NA,13227,640,33
San Diego State University,Public,0,34,67,30522,42402,30522,16,89,5646,30848,NA,9545,670,33
Seton Hall University,Private (non-profit),1,74,72,63002,63002,63002,16,83,1524,6102,37737,NA,670,27
South Dakota State University,Public,1,90,54,22313,25788,22313,16,78,2057,10067,NA,14181,630,21
Southern Methodist University,Private (non-profit),1,47,80,76710,76710,76710,16,91,1526,6710,147706,NA,760,11
Stevens Institute of Technology,Private (non-profit),0,40,82,72034,72034,72034,16,94,1009,3659,32836,NA,780,17
Tennessee State University,Public,0,NA,28,23424,36144,23424,16,64,1203,5875,NA,8953,NA,55
University of Denver,Private (non-profit),0,59,75,70092,70092,70092,16,85,1464,5774,71461,NA,680,16
Wake Forest University,Private (non-profit),0,30,87,74358,74358,74358,16,94,1420,5287,160340,NA,NA,9
Worcester Polytechnic Institute,Private (non-profit),1,49,88,69822,69822,69822,16,95,1276,4761,83471,NA,NA,11
