Institution,Pub_Priv,Major,Percent_admitted,Graduation_rate ,price_for_instate_students,price_outofstate_students ,price_indistrict_students,Carnegie_Classification ,retention_rate ,Fulltime_fall_2018_cohort ,Undergrad_enrollment,Percent_awarded_Pell grants,Percent_fulltime_firsttime_receiving_award
1,0,1,85,61,30041,54068,30061,15,83,6011,34516,29,44
2,0,1,81,75,32196,51828,32196,15,91,4744,24594,670,15
3,1,0,30,86,76141,76141,76141,15,93,895,3688,790,17
4,1,0,7,94,77490,77490,77490,15,98,1652,7160,800,13
5,0,1,16,90,39376,69130,39376,15,97,5980,31348,790,27
6,0,1,39,84,35935,65689,35935,15,92,6296,30982,730,37
7,0,1,27,83,35363,65117,35363,15,94,5779,30382,750,40
8,1,1,15,87,74491,74491,74491,15,97,1572,6618,800,14
9,1,1,27,83,69638,69638,69638,15,93,1393,5383,790,13
10,1,1,6,93,81531,81531,81531,15,99,1809,6891,800,11
11,0,1,78,65,31034,56852,31034,15,87,6613,31098,690,16
12,1,1,5,92,79752,79752,79752,15,99,1445,8221,800,25
13,1,1,11,93,76258,76258,76258,15,97,3295,15043,800,17
14,1,0,8,94,77152,77152,77152,15,98,1167,4459,790,17
15,1,1,8,93,77029,77029,77029,15,98,1731,6649,800,14
16,1,0,16,88,72604,72604,72604,15,95,1429,7118,790,19
17,1,0,14,94,76280,76280,76280,15,97,1618,7513,790,13
18,1,0,5,95,73800,73800,73800,15,97,1652,10063,800,12
19,0,1,83,69,24806,46769,24806,15,86,4726,23482,680,20
20,1,0,11,92,74028,74028,74028,15,97,1420,6256,800,14
21,0,1,44,85,27866,53978,27866,15,95,6021,30511,760,18
22,0,1,23,92,31056,66698,31056,15,97,6664,31266,790,17
23,1,0,9,92,78654,78654,78654,15,98,1931,8682,790,18
24,1,0,16,95,74193,74193,74193,15,98,2070,8732,790,11
25,0,1,54,83,27912,48889,27912,15,94,7941,46818,770,21
26,1,0,8,94,77264,77264,77264,15,98,2457,11872,800,13
27,1,0,6,97,74150,74150,74150,15,98,1338,5422,800,19
28,1,0,9,91,67102,67102,67102,15,98,956,3989,800,15
29,1,1,30,86,75190,75190,75190,15,94,1522,6780,780,18
30,1,0,4,89,74570,74570,74570,15,99,1696,6996,800,17
31,0,1,60,71,35371,48283,35371,15,89,5009,28726,750,30
32,1,1,15,93,76200,76200,76200,15,96,1541,5907,790,12
33,1,0,9,93,73148,73148,73148,15,97,1601,6886,800,16
34,0,0,24,94,34094,67196,34094,15,97,3822,17010,780,13
35,0,1,52,82,28394,55095,28394,15,95,7096,32046,770,21
36,1,0,14,94,76910,76910,76910,15,97,1785,7822,800,13
37,0,1,76,56,27991,42569,27991,15,79,5048,26062,610,31
38,1,1,6,95,76645,76645,76645,15,99,1573,6092,800,18
39,1,1,36,78,67694,67694,67694,16,87,1752,8527,690,16
40,1,0,67,65,56826,56826,56826,16,80,998,5136,630,31
41,0,0,77,64,24962,41742,24962,16,75,3700,16702,550,34
42,1,1,45,77,64880,64880,64880,16,88,3364,14108,700,19
43,0,0,77,45,24300,41220,24300,16,79,2770,22896,610,23
44,0,1,72,56,25187,33176,25187,16,77,3251,15103,550,27
45,1,1,67,45,19236,19236,19236,16,90,5633,31292,710,36
46,0,1,38,89,39595,62821,39595,16,95,1545,6256,770,12
47,0,0,74,69,35638,44470,35638,16,83,2677,16011,640,33
48,0,0,34,67,30522,42402,30522,16,89,5646,30848,670,33
49,1,1,74,72,63002,63002,63002,16,83,1524,6102,670,27
50,0,1,90,54,22313,25788,22313,16,78,2057,10067,630,21
51,1,1,47,80,76710,76710,76710,16,91,1526,6710,760,11
52,1,0,40,82,72034,72034,72034,16,94,1009,3659,780,17
53,0,0,90,28,23424,36144,23424,16,64,1203,5875,680,55
54,1,0,59,75,70092,70092,70092,16,85,1464,5774,680,16
55,1,0,30,87,74358,74358,74358,16,94,1420,5287,700,9
56,1,1,49,88,69822,69822,69822,16,95,1276,4761,700,11
57,1,0,11,94,76750,76750,76750,21,97,492,1839,780,24
58,1,0,9,94,73800,73800,73800,21,98,510,1835,650,16
59,1,0,51,72,56557,56557,56557,21,78,435,1294,650,34
60,1,0,71,69,58814,58814,58814,21,85,420,1712,650,31
61,1,0,19,92,73900,73900,73900,21,98,474,1860,770,11
62,1,1,68,64,50236,50236,50236,19,83,487,1842,610,31
