institution,type,ds_program,usnews_rank,public_private,size,land_grant,access_earnings,admitted,women,international,white,hispanic,black,asian,undergrad_enrollment_ft,graduation,endowment_per_fte,equity_ratio,core_expenses,endowment,fte_staff,average_salary,retention,pell,awarded_aid
American University,1,0,88,2,3,2,5,62,63,8,52,12,7,6,7760,75,84371,65,597978000,1032022000,2880.32,123494,81,24,100
Arizona State University Campus Immersion,2,0,117,1,5,2,6,90,48,8,43,26,4,9,62219,68,16915,33,2933424180,1592168000,13626.66,114196,81,38,100
Auburn University,2,1,102,1,4,1,5,46,50,2,83,4,4,3,24936,82,38248,43,1279424921,1185728863,6613.33,110439,71,52,100
Baylor University,2,0,88,2,4,2,5,51,60,3,60,17,5,9,15317,80,99079,76,943151000,2103057000,3825.33,107983,62,53,100
Binghamton University,2,1,73,1,4,2,5,39,52,4,52,13,5,18,14845,82,11728,44,575266265,221028373,2830.32,99601,78,41,100
Boston College,0,0,36,2,3,2,5,16,53,9,57,11,5,11,10131,91,277609,75,901168403,3908450339,4027.67,163290,88,16,83
Boston University,2,0,42,2,5,2,5,11,58,22,31,11,5,18,19159,89,94523,70,2306980000,3528624000,10512,150038,97,18,66
Brandeis University,1,1,69,2,3,2,5,40,57,20,42,8,6,17,3873,86,202775,81,376733529,1264908273,1628.64,131134,84,26,69
Brigham Young University,2,0,110,2,5,2,5,68,52,3,80,8,0,2,32272,81,87738,92,1180392784,3079786298,5041.67,129413,78,29,100
Brown University,0,1,13,2,3,2,5,5,52,13,33,11,8,19,7430,96,595848,83,1274338000,6718785000,5502.35,160855,87,32,93
California Institute of Technology,1,0,11,2,2,2,5,3,43,12,20,19,4,35,1044,94,1715554,66,937651861,4228841000,3203.33,215315,78,44,98
Carnegie Mellon University,0,0,20,2,3,2,5,12,49,20,22,11,4,33,7126,94,214622,82,1357716394,3231995579,5962.34,130272,95,12,85
Case Western Reserve University,1,0,51,2,3,2,5,37,48,14,35,12,6,27,6190,87,200105,73,1138662352,2396658000,4702.34,121016,76,41,93
Clemson University,2,0,75,1,4,1,5,38,52,1,75,9,6,3,22991,87,40220,29,1145414439,1124156325,6244.34,109516,82,25,100
Colorado School of Mines,2,1,80,1,3,2,5,61,32,3,67,13,1,6,5759,82,54188,16,358897958,386363861,1454.66,126001,79,32,100
Colorado State University-Fort Collins,1,0,151,1,4,1,3,89,55,3,69,16,3,3,23150,67,22379,37,1402252483,643276118,7999.66,106952,84,31,100
Columbia University in the City of New York,1,0,15,2,4,2,5,4,49,20,29,15,7,17,8751,96,438220,80,5932193000,14782492000,21287.67,193642,78,42,91
Cornell University,2,1,12,2,4,1,5,9,54,11,31,14,7,25,16121,95,345193,83,2913802086,10177681427,12341.67,163558,85,19,80
Dartmouth College,2,0,13,2,3,2,5,5,49,14,47,10,6,14,4967,96,1178367,86,1080808450,8273315722,4273.01,181089,97,15,33
Drexel University,2,0,80,2,4,2,5,79,49,9,42,9,10,23,13275,78,53299,50,999143000,1069294000,4384.01,113386,91,11,45
Duke University,0,0,7,2,3,2,5,6,53,10,36,11,9,23,6558,97,715575,74,3454829000,11889994000,18440.32,172945,91,10,99
East Carolina University,2,1,192,1,4,2,5,89,58,1,62,10,17,3,17920,63,13675,34,665223339,320106984,5364.01,86484,81,29,100
Emory University,2,0,24,2,3,2,5,11,57,17,31,12,9,25,7516,91,765717,66,2655914000,12396185000,14190,150101,82,27,100
Florida Atlantic University,2,0,183,1,4,2,6,66,57,3,40,29,18,4,19087,63,14369,65,665121771,398118994,3371.34,96727,79,88,100
Florida International University,0,0,97,1,5,2,6,55,56,7,9,67,12,3,29376,74,7132,49,1243499206,337735286,5859.69,106417,89,28,79
Florida State University,1,1,51,1,5,2,5,24,57,2,58,23,8,4,29352,86,24547,67,1672487912,1029931070,7769.32,117911,79,26,84
George Mason University,0,0,117,1,5,2,6,87,50,5,33,17,12,23,23814,68,6161,57,1086383271,206791506,5129,130338,96,13,53
George Washington University,0,0,59,2,4,2,5,47,64,9,47,13,8,14,10809,84,116333,47,1734559000,2639708000,5549.33,151751,95,21,54
Georgetown University,2,1,24,2,4,2,5,13,57,15,44,6,5,14,7356,95,206718,44,1692716000,3638443000,6385.66,163399,97,19,60
Georgia Institute of Technology-Main Campus,1,0,32,1,5,2,5,14,39,9,35,8,8,33,18050,94,81014,38,2552406230,3166993332,10253.33,139771,82,28,99
Georgia State University,0,0,198,1,5,2,4,55,60,4,17,14,43,16,22298,53,7867,32,830594852,259886368,5183.33,94128,87,15,65
Harvard University,2,1,3,2,4,2,5,4,53,19,29,11,7,19,7544,98,1742218,84,5737940000,53235205000,19791,223353,75,32,100
Howard University,0,1,88,2,3,2,6,41,71,4,0,6,63,3,9515,70,77457,50,733188000,1032497000,3030.33,104419,91,12,68
Indiana University-Bloomington,0,0,73,1,5,2,5,78,52,4,66,9,6,9,36540,80,42736,65,1668644980,2087993958,9217.33,108244,99,15,63
Indiana University-Indianapolis,2,0,192,1,4,2,4,76,60,3,58,14,12,7,15169,54,99721,81,1391395626,2452144361,9309.34,86258,92,14,83
Iowa State University,2,0,117,1,4,1,3,89,45,4,76,7,3,4,24694,75,55218,73,1177960245,1559640740,6539.99,114501,94,13,66
Johns Hopkins University,0,1,7,2,4,2,5,6,57,20,22,16,8,25,5751,94,455064,79,8293259000,13063073000,20047.34,171360,97,21,70
Kansas State University,1,0,158,1,4,1,3,82,51,2,78,9,3,2,13976,71,59303,62,834388584,1019065645,4786.01,97526,87,49,80
Kent State University at Kent,1,1,232,1,4,2,4,86,63,4,74,4,9,3,18029,64,8149,40,506995112,202182612,3309.66,96063,82,65,88
Lehigh University,1,0,46,2,3,2,5,26,48,7,58,11,5,11,5803,88,254549,80,460807000,1872716000,1986.66,136972,82,54,83
Louisiana State University and Agricultural & Mechanical College,1,0,169,1,4,1,5,73,55,2,60,10,19,5,29216,69,20019,1,1203949320,722730548,7099.34,103487,87,52,82
Loyola University Chicago,1,0,132,2,3,2,5,82,68,2,46,20,7,12,11508,73,66060,85,591293514,1054708355,3180.66,104279,82,57,86
Massachusetts Institute of Technology,2,0,2,2,3,1,5,5,49,11,20,14,9,33,4667,96,1945583,84,4367341000,24572716000,14521,221399,96,21,64
Michigan State University,0,0,64,1,5,1,5,85,51,6,67,6,7,8,38315,81,104916,60,2686547985,4986233000,13435.34,122284,98,18,58
Michigan Technological University,0,0,158,1,3,2,5,92,30,1,83,3,1,2,5727,68,24584,66,270394182,169088791,1526.67,106725,92,18,90
Mississippi State University,2,0,208,1,4,1,3,78,51,1,73,4,16,2,17268,67,41465,44,898908746,894682468,5274.34,90000,70,48,100
Missouri University of Science and Technology,2,0,192,1,3,2,5,73,23,3,74,5,3,4,5052,64,46175,75,234753923,282592656,1352.33,114604,80,25,100
Montana State University,1,0,318,1,3,1,3,82,47,1,84,6,1,1,13299,57,20082,55,595462338,312991891,3048.67,87925,75,32,96
New Jersey Institute of Technology,2,0,80,1,3,2,6,65,30,5,27,26,10,19,8347,73,16739,40,524846000,179523000,1837.67,125101,88,29,100
New Mexico State University-Main Campus,1,0,222,1,3,1,4,89,59,3,25,62,3,1,10510,55,7092,10,402956062,88674297,3030.66,91599,92,20,90
New York University,2,0,32,2,5,2,5,9,59,27,22,15,7,20,30163,88,117296,43,9934895000,6651982030,22649.34,164871,98,13,50
North Carolina State University at Raleigh,1,0,59,1,5,1,5,42,50,3,65,9,6,10,25947,85,67504,43,1685455575,2219515999,9930.66,116376,71,73,100
North Dakota State University-Main Campus,1,0,232,1,3,1,3,95,51,1,84,3,4,2,9058,64,45378,67,439588143,486725427,2441.67,95441,86,27,100
Northeastern University,1,0,46,2,4,2,5,5,56,14,41,11,5,21,23184,91,56764,64,1834746234,1852620000,6689.32,146980,85,24,100
Northern Arizona University,0,0,242,1,4,2,5,90,63,2,53,26,3,4,21670,61,9767,30,624209206,283386638,3583.67,88586,93,15,86
Northwestern University,1,0,7,2,4,2,5,8,55,10,34,14,7,21,9032,95,495254,81,3035012000,10981265000,11709.34,182894,70,49,90
