institution,ds_program,barron_rank,public_private,size,land_grant,admitted,women,international,white,hispanic,black,asian,undergrad_enrollment_ft,graduation,equity_ratio,core_expenses,endowment,fte_staff
Agnes Scott College,1,67,2,2,2,62,100,3,39,13,31,4,923,71,80,50495078,236894913,292.99
Albion College,0,131,2,2,2,81,54,4,52,12,17,1,1366,62,70,54935609,144138966,373.33
Albright College,1,170,2,2,2,76,55,2,44,21,22,3,1299,51,32,50830000,53032000,255.33
Allegheny College,0,76,2,2,2,55,52,6,69,8,8,3,1171,73,85,65897586,270838687,397.66
Amherst College,1,2,2,2,2,9,54,12,36,15,11,15,2049,94,86,235420974,3549576398,1132.66
Aquinas College,0,146,2,2,2,90,55,5,74,9,2,2,1068,65,68,29449005,46683981,249.66
Augustana College,0,96,2,2,2,63,53,18,57,13,4,2,2467,73,90,69698559,222938769,567.66
Austin College,1,84,2,2,2,48,52,1,50,25,7,11,1138,67,87,44555067,191743430,290.32
Bard College,0,70,2,2,2,52,58,22,38,13,14,3,2412,68,43,223179911,167819284,971
Barnard College,1,13,2,2,2,9,96,14,31,20,7,19,3309,93,69,220225000,503444000,1017.99
Bates College,1,24,2,2,2,13,51,9,63,9,4,6,1933,90,77,118639953,446804807,795.66
Beloit College,0,92,2,2,2,63,53,15,50,16,8,3,935,71,85,41382122,84013471,270.32
Bennington College,1,121,2,2,2,45,68,14,62,10,3,2,769,71,60,48260773,48929885,304.33
Berea College,1,45,2,2,2,19,59,8,44,16,19,4,1483,58,95,96878518,1626128100,621.99
Bowdoin College,1,5,2,2,2,7,52,7,53,13,5,11,2008,95,87,188304000,2583406000,999.66
Bridgewater College,0,167,2,2,2,92,49,4,66,8,11,1,1436,53,70,41585329,102625570,304.66
Bryn Mawr College,1,30,2,2,2,29,100,13,50,10,5,11,1448,82,91,142839000,1208946000,701.67
Bucknell University,0,30,2,2,2,29,53,5,74,8,4,5,3861,86,84,250334000,1167275000,1361.33
Carleton College,1,10,2,2,2,20,51,10,51,10,7,10,2080,90,88,163798562,1255379173,724.99
Centenary College of Louisiana,0,143,2,2,2,56,49,3,55,10,23,3,646,56,83,28112705,135148021,198
Central College,0,131,2,2,2,86,47,0,82,5,2,2,1066,66,60,34721870,98924047,355.33
Centre College,0,55,2,2,2,54,52,5,73,8,5,4,1356,81,71,68663218,402704759,470
Claremont McKenna College,0,7,2,2,2,10,50,15,37,15,5,15,1412,91,64,150239000,1319992000,564
Coe College,0,126,2,2,2,64,51,7,62,12,10,2,1278,66,79,34819524,104478883,294.33
Colby College,0,24,2,2,2,7,52,11,55,8,5,10,2469,89,83,187568000,1160160000,844.67
Colgate University,1,22,2,2,2,14,56,9,64,9,5,6,3185,91,77,214342859,1254676903,1075.66
College of Saint Benedict,0,73,2,2,2,92,100,4,79,10,3,3,1395,77,83,53068039,130578580,394.33
College of the Atlantic,1,126,2,1,2,70,72,21,66,6,0,1,354,68,88,25870995,84444621,97.67
College of the Holy Cross,0,27,2,2,2,18,55,3,71,12,4,3,3290,87,84,196798381,1109264540,1174.67
Colorado College,0,30,2,2,2,18,58,5,67,11,3,5,2250,88,87,161098713,989823357,849.66
Concordia College at Moorhead,0,135,2,2,2,63,54,6,75,4,4,3,1726,61,87,56782967,183959431,543.99
Connecticut College,0,50,2,2,2,37,61,6,68,11,4,4,1983,82,78,104058000,482358000,590.01
Cornell College,0,121,2,2,2,80,47,3,71,10,8,3,1097,62,85,40458292,100874798,263.65
Covenant College,1,126,2,2,2,87,53,3,87,3,1,3,862,71,98,27530224,64939767,236.01
CUNY Medgar Evers College,1,176,1,3,2,86,69,2,2,17,71,4,2914,20,-30,138578741,653999,577.33
Davidson College,1,13,2,2,2,13,54,10,62,10,6,6,2080,91,92,143934067,1374503853,922.66
Denison University,0,34,2,2,2,17,53,17,61,7,5,4,2497,79,84,152856000,1039019000,849.33
DePauw University,1,58,2,2,2,57,49,23,57,8,6,2,1806,75,85,94850884,932562848,543.33
Dickinson College,0,45,2,2,2,42,60,15,64,7,4,5,2177,80,83,107011005,627548242,857.67
Dillard University,1,156,2,2,2,42,74,3,1,1,79,0,1083,43,90,46510805,102201663,272.33
Drew University,1,84,2,2,2,68,54,16,53,5,9,4,1596,70,58,77803000,126713000,380.32
Earlham College,0,76,2,2,2,73,53,14,53,7,6,3,657,69,85,54836760,416198021,321.99
Eckerd College,1,135,2,2,2,76,71,4,75,10,3,2,1927,66,77,78182581,94995100,403.99
Emmanuel College,0,135,2,2,2,76,78,1,65,14,7,5,1856,68,37,64448094,173207388,351.65
Fisk University,0,156,2,2,2,37,66,6,0,1,83,1,950,30,75,39493151,41256925,189.66
Franklin and Marshall College,0,35,2,2,2,28,53,17,58,10,5,5,1988,84,77,109111267,467642341,678.32
Franklin College,0,146,2,2,2,70,47,1,80,6,7,2,873,60,81,27454366,99752531,249.67
Furman University,1,45,2,2,2,43,57,5,73,7,7,3,2292,79,81,158193045,827738616,905
Georgetown College,1,180,2,2,2,91,48,4,75,7,9,1,1196,49,89,28030515,32889546,186.67
Gettysburg College,1,58,2,2,2,39,51,11,64,11,5,3,2334,83,84,114548899,425385470,693.33
Gordon College,0,156,2,2,2,69,59,11,59,12,6,3,1312,69,84,44568862,115090366,372.66
Goucher College,0,126,2,2,2,78,66,5,47,7,27,5,967,57,74,57734000,292650000,360.34
Grinnell College,1,13,2,2,2,15,54,18,52,8,5,8,1724,88,91,141965000,2670849000,848.66
Guilford College,1,172,2,2,2,80,51,2,44,14,26,5,1116,46,60,38249816,80734148,240.65
Gustavus Adolphus College,1,70,2,2,2,61,55,5,79,5,2,2,1914,77,84,77912677,313227276,539.33
Hamilton College,0,13,2,2,2,14,56,8,64,9,3,9,2098,91,89,150308000,1361639000,782.01
Hampden-Sydney College,1,107,2,2,2,41,1,1,77,6,8,1,888,62,79,50712307,248839242,322.33
Hampshire College,1,156,2,2,2,75,63,7,59,14,6,3,771,54,61,34959243,27241084,241.67
Hanover College,0,115,2,2,2,84,50,5,78,3,5,1,944,67,87,45796441,163733338,279.32
Hartwick College,0,151,2,2,2,70,59,5,59,11,12,2,1136,53,56,45251866,43787461,295.33
Harvey Mudd College,1,10,2,2,2,13,48,12,22,21,5,23,919,92,89,73320831,454549500,372.67
Haverford College,1,24,2,2,2,12,57,11,49,12,5,12,1468,90,84,105290767,702245110,654.32
Hendrix College,1,96,2,2,2,56,50,2,69,9,7,4,1092,72,73,41609822,219105629,335.67
Hillsdale College,1,50,2,2,2,21,50,0,0,0,0,0,1554,90,85,225394140,1133148253,894.68
Hobart William Smith Colleges,1,73,2,2,2,64,51,8,64,10,7,2,1618,77,82,92318093,184210870,573.66
Hollins University,0,135,2,2,2,68,100,6,60,10,15,2,739,65,99,35198336,303839322,283
Hope College,1,84,2,2,2,79,60,2,78,8,4,3,3214,80,91,106073000,309915000,810.34
Houghton University,0,146,2,2,2,89,64,5,70,2,7,3,742,65,77,25551973,80582293,185.66
Illinois College,1,111,2,2,2,78,54,5,70,10,9,1,948,64,80,36491902,139556008,258.33
Juniata College,0,92,2,2,2,79,53,11,67,7,5,2,1240,74,65,52063971,132688469,327.99
Kalamazoo College,1,67,2,2,2,75,58,5,62,16,5,5,1373,76,87,62489424,304294691,358.99
Kenyon College,1,45,2,2,2,31,59,9,57,6,4,4,1864,82,76,118451476,626603453,658.32
Knox College,0,76,2,2,2,71,52,20,48,13,6,4,1026,68,80,49500216,174514569,410.99
Lafayette College,1,30,2,2,2,31,49,7,68,9,6,4,2753,88,79,170365000,1140250000,899.67
Lake Forest College,0,75,2,2,2,57,57,17,46,18,3,6,1884,78,79,60327627,123504020,348.66
