institution,type,usnews_rank,ds_program,public_private,size,land_grant,access_earnings,admitted,women,international,white,hispanic,black,asian,undergrad_enrollment_ft,graduation,endowment_per_fte,equity_ratio,core_expenses,endowment,fte_staff,average_salary,retention,pell,awarded_aid
Agnes Scott College,2,67,1,2,2,2,6,62,100,3,39,13,31,4,923,71,207257,80,50495078,236894913,292.99,86437,81,38,100
Albion College,2,131,0,2,2,2,6,81,54,4,52,12,17,1,1366,62,100726,70,54935609,144138966,373.33,67220,71,52,100
Albright College,2,170,1,2,2,2,4,76,55,2,44,21,22,3,1299,51,32278,32,50830000,53032000,255.33,60165,62,53,100
Allegheny College,2,76,0,2,2,2,3,55,52,6,69,8,8,3,1171,73,219480,85,65897586,270838687,397.66,77240,78,41,100
Amherst College,2,2,1,2,2,2,5,9,54,12,36,15,11,15,2049,94,1714771,86,235420974,3549576398,1132.66,140454,97,18,66
Aquinas College,2,146,0,2,2,2,3,90,55,5,74,9,2,2,1068,65,41571,68,29449005,46683981,249.66,59939,78,29,100
Augustana College,2,96,0,2,2,2,3,63,53,18,57,13,4,2,2467,73,86984,90,69698559,222938769,567.66,75099,82,25,100
Austin College,2,84,1,2,2,2,3,48,52,1,50,25,7,11,1138,67,169534,87,44555067,191743430,290.32,77595,79,32,100
Bard College,2,70,0,2,2,2,2,52,58,22,38,13,14,3,2412,68,55754,43,223179911,167819284,971,113299,85,19,80
Barnard College,2,13,1,2,2,2,5,9,96,14,31,20,7,19,3309,93,153069,69,220225000,503444000,1017.99,144130,97,15,33
Bates College,2,24,1,2,2,2,5,13,51,9,63,9,4,6,1933,90,254880,77,118639953,446804807,795.66,106975,91,11,45
Beloit College,2,92,0,2,2,2,4,63,53,15,50,16,8,3,935,71,81884,85,41382122,84013471,270.32,69528,81,29,100
Bennington College,2,121,1,2,2,2,1,45,68,14,62,10,3,2,769,71,54427,60,48260773,48929885,304.33,90496,82,27,100
Berea College,2,45,1,2,2,2,4,19,59,8,44,16,19,4,1483,58,1110743,95,96878518,1626128100,621.99,83279,79,88,100
Bowdoin College,2,5,1,2,2,2,5,7,52,7,53,13,5,11,2008,95,1424934,87,188304000,2583406000,999.66,127945,97,19,60
Bridgewater College,2,167,0,2,2,2,4,92,49,4,66,8,11,1,1436,53,70776,70,41585329,102625570,304.66,65931,75,32,100
Bryn Mawr College,2,30,1,2,2,2,5,29,100,13,50,10,5,11,1448,82,657751,91,142839000,1208946000,701.67,108747,92,14,83
Bucknell University,2,30,0,2,2,2,5,29,53,5,74,8,4,5,3861,86,288145,84,250334000,1167275000,1361.33,119287,94,13,66
Carleton College,2,10,1,2,2,2,5,20,51,10,51,10,7,10,2080,90,629894,88,163798562,1255379173,724.99,125636,96,21,64
Centenary College of Louisiana,2,143,0,2,2,2,3,56,49,3,55,10,23,3,646,56,206648,83,28112705,135148021,198,70270,70,48,100
Central College,2,131,0,2,2,2,3,86,47,0,82,5,2,2,1066,66,93149,60,34721870,98924047,355.33,70020,80,25,100
Centre College,2,55,0,2,2,2,5,54,52,5,73,8,5,4,1356,81,312174,71,68663218,402704759,470,87509,88,29,100
Claremont McKenna College,2,7,0,2,2,2,5,10,50,15,37,15,5,15,1412,91,965612,64,150239000,1319992000,564,150310,98,13,50
Coe College,2,126,0,2,2,2,4,64,51,7,62,12,10,2,1278,66,77969,79,34819524,104478883,294.33,65616,73,39,100
Colby College,2,24,0,2,2,2,5,7,52,11,55,8,5,10,2469,89,484207,83,187568000,1160160000,844.67,118862,94,17,48
Colgate University,2,22,1,2,2,2,5,14,56,9,64,9,5,6,3185,91,404996,77,214342859,1254676903,1075.66,117878,93,11,48
College of Saint Benedict,2,73,0,2,2,2,3,92,100,4,79,10,3,3,1395,77,85178,83,53068039,130578580,394.33,82214,86,23,100
College of the Atlantic,2,126,1,2,1,2,1,70,72,21,66,6,0,1,354,68,249836,88,25870995,84444621,97.67,80817,85,28,100
College of the Holy Cross,2,27,0,2,2,2,5,18,55,3,71,12,4,3,3290,87,337984,84,196798381,1109264540,1174.67,111375,95,16,68
Colorado College,2,30,0,2,2,2,3,18,58,5,67,11,3,5,2250,88,436046,87,161098713,989823357,849.66,115072,94,11,62
Concordia College at Moorhead,2,135,0,2,2,2,3,63,54,6,75,4,4,3,1726,61,99277,87,56782967,183959431,543.99,69428,84,21,100
Connecticut College,2,50,0,2,2,2,5,37,61,6,68,11,4,4,1983,82,220154,78,104058000,482358000,590.01,70040,90,14,100
Cornell College,2,121,0,2,2,2,3,80,47,3,71,10,8,3,1097,62,88023,85,40458292,100874798,263.65,71330,80,35,100
Covenant College,2,126,1,2,2,2,3,87,53,3,87,3,1,3,862,71,72640,98,27530224,64939767,236.01,76873,88,19,100
CUNY Medgar Evers College,2,176,1,1,3,2,4,86,69,2,2,17,71,4,2914,20,226,-30,138578741,653999,577.33,107991,50,78,89
Davidson College,2,13,1,2,2,2,5,13,54,10,62,10,6,6,2080,91,674107,92,143934067,1374503853,922.66,117298,95,19,70
Denison University,2,34,0,2,2,2,5,17,53,17,61,7,5,4,2497,79,403346,84,152856000,1039019000,849.33,101137,89,13,94
DePauw University,2,58,1,2,2,2,5,57,49,23,57,8,6,2,1806,75,510434,85,94850884,932562848,543.33,90845,89,17,99
Dickinson College,2,45,0,2,2,2,5,42,60,15,64,7,4,5,2177,80,270845,83,107011005,627548242,857.67,90304,92,13,97
Dillard University,2,156,1,2,2,2,4,42,74,3,1,1,79,0,1083,43,88563,90,46510805,102201663,272.33,65443,78,76,100
Drew University,2,84,1,2,2,2,3,68,54,16,53,5,9,4,1596,70,57807,58,77803000,126713000,380.32,84809,88,39,97
Earlham College,2,76,0,2,2,2,3,73,53,14,53,7,6,3,657,69,594569,85,54836760,416198021,321.99,74075,77,25,100
Eckerd College,2,135,1,2,2,2,3,76,71,4,75,10,3,2,1927,66,44453,77,78182581,94995100,403.99,80283,76,23,100
Emmanuel College,2,135,0,2,2,2,3,76,78,1,65,14,7,5,1856,68,83193,37,64448094,173207388,351.65,97093,79,30,100
Fisk University,2,156,0,2,2,2,4,37,66,6,0,1,83,1,950,30,40647,75,39493151,41256925,189.66,55043,74,53,87
Franklin and Marshall College,2,35,0,2,2,2,5,28,53,17,58,10,5,5,1988,84,227896,77,109111267,467642341,678.32,101635,90,12,82
